UNIT_OF_MEASURE,UOM_CODE,UOM_CLASS,BASE_UNIT_FLAG,DESCRIPTION,CONVERSION_RATE,DISABLE_DATE
Each,EA,Quantity,Y,Each / Unit,1,
Dozen,DZ,Quantity,N,12 Units,12,
Hundred,HU,Quantity,N,100 Units,100,
Thousand,TH,Quantity,N,1000 Units,1000,
Pair,PR,Quantity,N,2 Units,2,
Set,ST,Quantity,N,Set of items,1,
Box,BX,Quantity,N,Box of items,1,
Case,CA,Quantity,N,Case of items,1,
Pack,PK,Quantity,N,Pack of items,1,
Roll,RL,Quantity,N,Roll,1,
Gram,GM,Weight,Y,Gram,1,
Kilogram,KG,Weight,N,Kilogram,1000,
Pound,LB,Weight,N,Pound,453.592,
Ounce,OZ,Weight,N,Ounce,28.3495,
Milligram,MG,Weight,N,Milligram,0.001,
Metric Ton,MT,Weight,N,Metric Ton,1000000,
Ton,TN,Weight,N,Short Ton (US),907185,
Milliliter,ML,Volume,Y,Milliliter,1,
Liter,LT,Volume,N,Liter,1000,
Gallon,GL,Volume,N,US Gallon,3785.41,
Fluid Ounce,FL,Volume,N,Fluid Ounce,29.5735,
Cubic Meter,M3,Volume,N,Cubic Meter,1000000,
Millimeter,MM,Length,Y,Millimeter,1,
Centimeter,CM,Length,N,Centimeter,10,
Meter,MT,Length,N,Meter,1000,
Kilometer,KM,Length,N,Kilometer,1000000,
Inch,IN,Length,N,Inch,25.4,
Foot,FT,Length,N,Foot,304.8,
Yard,YD,Length,N,Yard,914.4,
Square Meter,M2,Area,Y,Square Meter,1,
Square Foot,SF,Area,N,Square Foot,0.092903,
Square Inch,SI,Area,N,Square Inch,0.00064516,
Second,SC,Time,Y,Second,1,
Minute,MN,Time,N,Minute,60,
Hour,HR,Time,N,Hour,3600,
Day,DY,Time,N,Day,86400,
Week,WK,Time,N,Week,604800,
Month,MO,Time,N,Month (30 days),2592000,
Year,YR,Time,N,Year (365 days),31536000,
Ampere,AM,Electrical,Y,Ampere,1,
Kilowatt Hour,KH,Electrical,N,Kilowatt Hour,1,
Watt,WA,Electrical,N,Watt,1,
