Inventory Item Name,Description,Organization Code,Source System Code,Unit of Measure Code,Base Item Name,Lifecycle Phase,Back-to-Back Enabled,Ship Model Complete Indicator,Carrying Cost,Item Material Cost,List Price,Average Discount,Safety Stock Planning Method,Days of Cover,Demand Period Days,Unit Weight,Unit Volume,Weight Unit Of Measure,Volume Unit Of Measure,Lot Expiration Control,Lot Control Code,Shrinkage Rate,Fixed Days of Supply,Fixed Order Quantity,Fixed Lot Multiplier,Minimum Order Quantity,Maximum Order Quantity,Rounding Control,Planning Time Fence Days,Planning Time Fence Type,Demand Time Fence Days,Demand Time Fence Type,Release Time Fence Type,Release Time Fence Days,Planning Method,Fixed Lead Time,Variable Lead Time,Preprocessing Lead Time,Postprocessing Lead Time,Cumulative Manufacturing Lead Time,ATP Components Indicator,Build In WIP Indicator,Purchasing Enabled Indicator,Planning Make or Buy Code,Planner Name,Item Structure Type,Work Order Supply Type,Assemble-to-Order Forecast Control,Effectivity Control Code,Acceptable Early Days,Calculate ATP,Inventory Item Indicator,Available-to-Promise Indicator,Processing Lead Time,Cumulative Total Lead Time,Pick Components Indicator,Order Cost,Resource Cost,Minimum Shelf Life Days,Assemble-to-Order Indicator,Customer Order Indicator,Shippable Item Indicator,Delete Indicator,Buyer Name,ABC Class,Source Organization Code,Autocreated Configuration Indicator,Apply Order Modifier to Start Quantity,Global Character Attribute 1,Global Character Attribute 2,Global Character Attribute 3,Global Character Attribute 4,Global Character Attribute 5,Global Character Attribute 6,Global Character Attribute 7,Global Character Attribute 8,Global Character Attribute 9,Global Character Attribute 10,Global Character Attribute 11,Global Character Attribute 12,Global Character Attribute 13,Global Character Attribute 14,Global Character Attribute 15,Global Character Attribute 16,Global Character Attribute 17,Global Character Attribute 18,Global Character Attribute 19,Global Character Attribute 20,Global Number Attribute 1,Global Number Attribute 2,Global Number Attribute 3,Global Number Attribute 4,Global Number Attribute 5,Global Date Attribute 1,Global Date Attribute 2,Global Date Attribute 3,Global Date Attribute 4,Global Date Attribute 5,Enforce Purchasing Lead Time,Create Supply Indicator,Order Management Indivisible Indicator,Hard Pegging Level,Allow Use of Common Supplies,Lead Time Lot Size,Critical Component Indicator,Create Supply After
ITM01001A,,M2,,,Inactive,,,,142.54,Plastic ABS,196.95,,96,,,37.046,,,,,8476.74.77,,,,,,,,,,,,,,,,,,,,,,,MAKE,GlobalParts SA,raw,,25,,12,,COMPONENTS,,,,,,,,,,Industrial Bearing 6203 ZZ,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01002D,,PLANO_PLANT,,,I,,,,167.71,,316.23,,102,,,41.479,,,,,9354.39.98,,,,,,,,,,,,,,,,,,,,,,,MAKE,,SUBASM,,5,,32,,COMPONENTS,,,,,,,,,,Mounting Plate Steel,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01003C,Pulley Aluminum 16T — Plano warehouse stock,M-1,,,X,,,,97.42,Carbon Steel,244.03,,45,,,40.262,,,,,HS-93275203,,,,,,,,,,,,,,,,,,,,,,,BUY,,COMP,,5,,15,,RAW MATERIAL,,,,,,,,,,Pulley Aluminum 16T,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01004D,Timing Belt T5 250mm — Plano warehouse stock,PLANO_PLANT,,,X,,,,205.07,Plastic ABS,472.48,,140,,,48.555,,,,,83743069,,,,,,,,,,,,,,,,,,,,,,,M,GlobalParts SA,FG,,50,,21,,RAW MATERIAL,,,,,,,,,,Timing Belt T5 250mm,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01005A,,M-1,,,Inactive,,,,60.53,Brass,124.24,,91,,,-40.348,,,,,9498.72.08,,,,,,,,,,,,,,,,,,,,,,,M,,FINISHED,,5,,32,,COMPONENTS,,,,,,,,,,Capacitor 100uF 25V,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01006B,,M2,,,Inactive,,,,244.42,,334.81,,20,,,11.486,,,,,HS-84439648,,,,,,,,,,,,,,,,,,,,,,,BUY,GlobalParts SA,FINISHED,,100,,84,,Finished Goods,,,,,,,,,,Industrial Bearing 6203 ZZ,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01007B,,DALLAS_DC,,,I,,,,70.19,Carbon Steel,171.7,,19,,,21.123,,,,,8200.16.83,,,,,,,,,,,,,,,,,,,,,,,MAKE,,RM,,10,,25,,PACKAGING,,,,,,,,,,ALUMINUM HEAT SINK 40X40,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01008C,,M1,,,X,,,,128.17,,261.91,,176,,,45.973,,,,,8140.86.08,,,,,,,,,,,,,,,,,,,,,,,BUY,Toyo Industries,FINISHED,,25,,34,,,,,,,,,,,,Hex Bolt M8x40,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01009A,,M-1,,,A,,,,19.81,Stainless Steel,34.12,,159,,,49.805,,,,,89562590,,,,,,,,,,,,,,,,,,,,,,,B,GlobalParts SA,raw,,10,,20,,ELECTRONICS,,,,,,,,,,Industrial Bearing 6203 ZZ,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01010C,Pneumatic Cylinder 50mm — Plano warehouse stock,M1,,,A,,,,25.23,Plastic ABS,42.42,,96,,,42.313,,,,,HS-85421791,,,,,,,,,,,,,,,,,,,,,,,B,Tier One Mfg,raw,,1,,47,,COMPONENTS,,,,,,,,,,Pneumatic Cylinder 50mm,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01011C,,PLANO_PLANT,,,I,,,,204.56,Aluminum 6061,311.94,,54,,,48.693,,,,,86018345,,,,,,,,,,,,,,,,,,,,,,,BUY,GlobalParts SA,raw,,1,,29,,Finished Goods,,,,,,,,,,heat shrink tubing 6mm,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01005A,,M2,,,Active,,,,33.52,Carbon Steel,48.85,,174,,,46.965,,,,,91599334,,,,,,,,,,,,,,,,,,,,,,,M,GlobalParts SA,FINISHED,,50,,43,,ELECTRONICS,,,,,,,,,,Brushless DC Motor 24V,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01013D,Shaft Coupling 12mm — Plano warehouse stock,PLANO_PLANT,,,Inactive,,,,247.35,Stainless Steel,562.88,,90,,,21.051,,,,,80013621,,,,,,,,,,,,,,,,,,,,,,,M,GlobalParts SA,FINISHED,,100,,85,,RAW MATERIAL,,,,,,,,,,Shaft Coupling 12mm,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01014B,,M1,,,Inactive,,,,20.3,Plastic ABS,41.98,,86,,,42.494,,,,,9426.59.63,,,,,,,,,,,,,,,,,,,,,,,BUY,,FG,,50,,68,,Finished Goods,,,,,,,,,,RESISTOR 10K OHM 1/4W,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01015D,,M-1,,,A,,,,202.76,Aluminum 6061,321.3,,112,,,22.531,,,,,8992.90.30,,,,,,,,,,,,,,,,,,,,,,,BUY,Acme Components,RM,,5,,8,,RAW MATERIAL,,,,,,,,,,Pressure Sensor 0-10 bar,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01016D,Industrial Bearing 6203 ZZ — Plano warehouse stock,DALLAS_DC,,,ACT,,,,241.51,Brass,529.9,,123,,,42.68,,,,,87362568,,,,,,,,,,,,,,,,,,,,,,,B,GlobalParts SA,SUBASM,,25,,83,,RAW MATERIAL,,,,,,,,,,Industrial Bearing 6203 ZZ,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
